,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
carpet,0.00,0.00,0.00,0.00,0.00,0.00
grid,0.00,0.00,0.00,0.00,0.00,0.00
leather,0.00,0.00,0.00,0.00,0.00,0.00
tile,0.00,0.00,0.00,0.00,0.00,0.00
wood,0.00,0.00,0.00,0.00,0.00,0.00
bottle,97.42,88.38,71.26,96.12,45.12,4.84
cable,0.00,0.00,0.00,0.00,0.00,0.00
capsule,0.00,0.00,0.00,0.00,0.00,0.00
hazelnut,0.00,0.00,0.00,0.00,0.00,0.00
metal_nut,0.00,0.00,0.00,0.00,0.00,0.00
pill,0.00,0.00,0.00,0.00,0.00,0.00
screw,0.00,0.00,0.00,0.00,0.00,0.00
toothbrush,0.00,0.00,0.00,0.00,0.00,0.00
transistor,0.00,0.00,0.00,0.00,0.00,0.00
zipper,0.00,0.00,0.00,0.00,0.00,0.00
